id,need_keys,vanish_time,reward,chest_pic,limit,limittype
int,int,int,int,string,int,int
1,600,10,9222248,image/ValentineDay/Item_ValentineDay5,20,2
2,300,10,9222247,image/ValentineDay/Item_ValentineDay4,3,2
3,100,10,9222246,image/ValentineDay/Item_ValentineDay3,2,2
4,30,10,9222254,image/ValentineDay/Item_ValentineDay2,5,2
5,1000,10,9222255,image/ValentineDay/Item_ValentineDay6,1,2
6,1000,10,9222250,image/ValentineDay/Item_ValentineDay6,1,2
7,600,10,9222249,image/ValentineDay/Item_ValentineDay5,2,2
8,600,10,9222252,image/ValentineDay/Item_ValentineDay5,3,2
9,300,10,9222251,image/ValentineDay/Item_ValentineDay4,2,2
10,5,10,9222245,image/ValentineDay/Item_ValentineDay1,1,1
11,600,10,9222244,image/ValentineDay/Item_ValentineDay5,9999,2
12,300,10,9222243,image/ValentineDay/Item_ValentineDay4,9999,2
13,100,10,9222242,image/ValentineDay/Item_ValentineDay3,10,2
14,600,10,9222241,image/ValentineDay/Item_ValentineDay5,9999,2
15,300,10,9222240,image/ValentineDay/Item_ValentineDay4,9999,2
16,100,10,9222239,image/ValentineDay/Item_ValentineDay3,10,2
17,30,10,9222238,image/ValentineDay/Item_ValentineDay2,10,2
19,2,10,9222236,image/ValentineDay/Item_ValentineDay1,1,2
20,2,10,9222229,image/ValentineDay/Item_ValentineDay1,1,2
22,300,10,9222227,image/ValentineDay/Item_ValentineDay4,9999,2
23,100,10,9222226,image/ValentineDay/Item_ValentineDay3,9999,2
24,30,10,9222225,image/ValentineDay/Item_ValentineDay2,9999,2
27,10,10,9222222,image/ValentineDay/Item_ValentineDay2,9999,2