id,needItem1,needItem2,type,rewardItem,rewardRate,platform,order
int,string,string,int,string,string,string,int
1,4410101|1,4410101|1,1,4410102|1,100,,1
2,4410102|1,4410102|1,1,4410103|1,100,,2
3,4410103|1,4410103|1,1,4410104|1,100,,3
4,4410104|1,4410104|1,2,42900|1,43000|1,43100|1,43200|1,100,100,100,100,,4
5,4410201|1,4410201|1,1,4410202|1,100,,5
6,4410202|1,4410202|1,1,4410203|1,100,,6
7,4410203|1,4410203|1,1,4410204|1,100,,7
8,4410204|1,4410204|1,2,43300|1,43400|1,43500|1,43600|1,100,100,100,100,,8
9,4410301|1,4410301|1,1,4410302|1,100,,9
10,4410302|1,4410302|1,1,4410303|1,100,,10
11,4410303|1,4410303|1,1,4410304|1,100,,11
12,4410304|1,4410304|1,2,41600|1,40600|1,40400|1,40000|1,100,100,100,100,,12
13,4410401|1,4410401|1,1,4410402|1,100,,13
14,4410402|1,4410402|1,1,4410403|1,100,,14
15,4410403|1,4410403|1,1,4410404|1,100,,15
16,4410404|1,4410404|1,2,40900|1,40800|1,40700|1,40300|1,100,100,100,100,,16