id,group,item,num,limit,price,server_group
int,int,int,int,int,int,int
1,1,2300003,5,1,2000,1
2,1,3300001,100,1,1200,1
3,1,3610009,100,1,600,1
4,1,1900003,10,1,5000,1
5,1,2300002,10,1,600,1
6,1,2400005,20,1,1800,1
7,2,550003,10,1,2400,1
8,2,600002,5,1,1500,1
9,2,1700013,10,1,600,1
10,2,2100002,10,1,1500,1
11,2,2300002,10,1,600,1
12,2,2400005,20,1,1800,1
13,3,1900003,5,1,2500,1
14,3,1700015,5,1,2700,1
15,3,500002,5,1,750,1
16,3,2100005,10,1,4000,1
17,3,5200001,10,1,1500,1
18,3,2560002,10,1,10000,1
19,4,2300003,5,1,2000,1
20,4,3300001,100,1,1200,1
21,4,3610009,100,1,600,1
22,4,1900003,10,1,5000,1
23,4,2300002,10,1,600,1
24,4,2400005,20,1,1800,1
25,5,550003,10,1,2400,1
26,5,600002,5,1,1500,1
27,5,1700013,10,1,600,1
28,5,2100002,10,1,1500,1
29,5,2300002,10,1,600,1
30,5,2400005,20,1,1800,1
31,6,1900003,5,1,2500,1
32,6,1700015,5,1,2700,1
33,6,500002,5,1,750,1
34,6,2100005,10,1,4000,1
35,6,5200001,10,1,1500,1
36,6,2560002,10,1,10000,1
37,7,2540005,3,1,2700,1
38,7,3300001,100,1,1200,1
39,7,3610009,100,1,600,1
40,7,2100002,10,1,1500,1
41,7,2300002,10,1,600,1
42,7,2400005,20,1,1800,1
43,8,550003,10,1,2400,1
44,8,920001,5,1,5000,1
45,8,1700013,10,1,600,1
46,8,2100002,10,1,1500,1
47,8,2300002,10,1,600,1
48,8,2400005,20,1,1800,1
49,9,1900003,5,1,2500,1
50,9,1700015,5,1,2700,1
51,9,500002,10,1,1500,1
52,9,2100005,10,1,4000,1
53,9,5200001,10,1,1500,1
54,9,3610010,10,1,2000,1
55,10,2520305,1,1,14000,1
56,10,2520405,1,1,14000,1
57,10,3610009,100,1,600,1
58,10,2100002,10,1,1500,1
59,10,2300002,10,1,600,1
60,10,2400005,20,1,1800,1
61,11,2520505,1,1,14000,1
62,11,2520104,1,1,14000,1
63,11,1700015,10,1,5400,1
64,11,2100002,10,1,1500,1
65,11,2300002,10,1,600,1
66,11,2400005,20,1,1800,1
67,12,2520005,1,1,14000,1
68,12,2520205,1,1,14000,1
69,12,500002,20,1,3000,1
70,12,2100005,10,1,4000,1
71,12,5200002,10,1,3000,1
72,12,3610010,10,1,2000,1
73,13,2520305,1,1,14000,1
74,13,2520405,1,1,14000,1
75,13,3610009,100,1,600,1
76,13,2100002,10,1,1500,1
77,13,2300002,10,1,600,1
78,13,2400005,20,1,1800,1
79,14,2520505,1,1,14000,1
80,14,2520104,1,1,14000,1
81,14,1700015,10,1,5400,1
82,14,2100002,10,1,1500,1
83,14,2300002,10,1,600,1
84,14,2400005,20,1,1800,1
85,15,2520005,1,1,14000,1
86,15,2520205,1,1,14000,1
87,15,500002,20,1,3000,1
88,15,2100005,10,1,4000,1
89,15,5200001,10,1,1500,1
90,15,3610010,10,1,2000,1
91,16,2100005,10,1,4000,1
92,16,910001,5,1,5000,1
93,16,3610009,200,1,1200,1
94,16,2100002,10,1,1500,1
95,16,2300002,10,1,600,1
96,16,2400005,20,1,1800,1
97,17,500002,20,1,3000,1
98,17,920001,20,1,20000,1
99,17,1700015,10,1,5400,1
100,17,2100002,10,1,1500,1
101,17,2300002,10,1,600,1
102,17,2400005,20,1,1800,1
103,18,2300003,3,1,1200,1
104,18,910001,5,1,5000,1
105,18,3610009,200,1,1200,1
106,18,2100002,10,1,1500,1
107,18,2300002,10,1,600,1
108,18,2400005,20,1,1800,1
109,19,2300003,4,1,1600,2
110,19,3300001,50,1,600,2
111,19,3610009,200,1,900,2
112,19,323001,200,1,600,2
113,19,2300002,10,1,600,2
114,19,2400005,10,1,900,2
115,20,1900003,2,1,1000,2
116,20,600002,2,1,600,2
117,20,1700013,10,1,600,2
118,20,2100002,10,1,1500,2
119,20,2300002,10,1,600,2
120,20,2400005,10,1,900,2
121,21,2560001,20,1,600,2
122,21,1700015,5,1,2700,2
123,21,500002,5,1,750,2
124,21,2100005,5,1,2000,2
125,21,2100002,10,1,1500,2
126,21,323001,100,1,300,2
127,22,2300003,4,1,1600,2
128,22,3300001,50,1,600,2
129,22,3610009,200,1,900,2
130,22,323001,200,1,600,2
131,22,2300002,10,1,600,2
132,22,2400005,10,1,900,2
133,23,1900003,2,1,1000,2
134,23,600002,2,1,600,2
135,23,1700013,10,1,600,2
136,23,2100002,10,1,1500,2
137,23,2300002,10,1,600,2
138,23,2400005,10,1,900,2
139,24,2560001,20,1,600,2
140,24,1700015,5,1,2700,2
141,24,500002,5,1,750,2
142,24,2100005,5,1,2000,2
143,24,2100002,10,1,1500,2
144,24,323001,100,1,300,2
145,25,2300003,10,1,4000,2
146,25,3300001,100,1,1200,2
147,25,3610009,400,1,1800,2
148,25,323001,400,1,1200,2
149,25,2300002,20,1,1200,2
150,25,2400005,20,1,1800,2
151,26,1900003,5,1,2500,2
152,26,600002,5,1,1500,2
153,26,1700013,20,1,1200,2
154,26,2100002,20,1,3000,2
155,26,2300002,20,1,1200,2
156,26,1700015,10,1,5400,2
157,27,2560001,40,1,1200,2
158,27,2200028,10,1,3600,2
159,27,500002,10,1,1500,2
160,27,2100005,10,1,4000,2
161,27,1700015,10,1,5400,2
162,27,323001,100,1,300,2
163,28,2520003,1,1,1500,2
164,28,2520303,1,1,1500,2
165,28,2100002,20,1,3000,2
166,28,323001,400,1,1200,2
167,28,2300003,10,1,4000,2
168,28,1700015,10,1,5400,2
169,29,2520102,1,1,1500,2
170,29,2520403,1,1,1500,2
171,29,2100002,20,1,3000,2
172,29,2200027,10,1,3600,2
173,29,2300003,10,1,4000,2
174,29,1700015,10,1,5400,2
175,30,2520203,1,1,1500,2
176,30,2520503,1,1,1500,2
177,30,2100002,20,1,3000,2
178,30,2200021,10,1,3600,2
179,30,2300003,10,1,4000,2
180,30,1700015,10,1,5400,2
181,31,2300003,4,1,1600,3
182,31,3300001,50,1,600,3
183,31,3610009,200,1,900,3
184,31,2540002,10,1,700,3
185,31,2300002,10,1,600,3
186,31,2400005,10,1,900,3
187,32,1900003,2,1,1000,3
188,32,600002,2,1,600,3
189,32,1700013,10,1,600,3
190,32,2100002,10,1,1500,3
191,32,2300002,10,1,600,3
192,32,2400005,10,1,900,3
193,33,2560001,20,1,600,3
194,33,1700015,5,1,2700,3
195,33,500002,5,1,750,3
196,33,2100005,5,1,2000,3
197,33,2100002,10,1,1500,3
198,33,2540002,20,1,1400,3
199,34,2300003,4,1,1600,3
200,34,3300001,50,1,600,3
201,34,3610009,200,1,900,3
202,34,2540002,20,1,1200,3
203,34,2300002,10,1,600,3
204,34,2400005,10,1,900,3
205,35,1900003,2,1,1000,3
206,35,600002,2,1,600,3
207,35,1700013,10,1,600,3
208,35,2100002,10,1,1500,3
209,35,2300002,10,1,600,3
210,35,2400005,10,1,900,3
211,36,2560001,20,1,600,3
212,36,1700015,5,1,2700,3
213,36,500002,5,1,750,3
214,36,2100005,5,1,2000,3
215,36,2100002,10,1,1500,3
216,36,2540002,10,1,600,3
217,37,2300003,10,1,4000,3
218,37,3300001,100,1,1200,3
219,37,3610009,400,1,1800,3
220,37,2540002,20,1,1000,3
221,37,2300002,20,1,1200,3
222,37,2400005,20,1,1800,3
223,38,1900003,5,1,2500,3
224,38,600002,5,1,1500,3
225,38,1700013,20,1,1200,3
226,38,2100002,20,1,3000,3
227,38,2300002,20,1,1200,3
228,38,1700015,10,1,5400,3
229,39,2560001,40,1,1200,3
230,39,2200028,10,1,3600,3
231,39,500002,10,1,1500,3
232,39,2100005,10,1,4000,3
233,39,1700015,10,1,5400,3
234,39,2540002,10,1,500,3
235,40,2520003,1,1,1500,3
236,40,2520303,1,1,1500,3
237,40,2100002,20,1,3000,3
238,40,2540002,20,1,1000,3
239,40,2300003,10,1,4000,3
240,40,1700015,10,1,5400,3
241,41,2520102,1,1,1500,3
242,41,2520403,1,1,1500,3
243,41,2100002,20,1,3000,3
244,41,2200027,10,1,3600,3
245,41,2300003,10,1,4000,3
246,41,1700015,10,1,5400,3
247,42,2520203,1,1,1500,3
248,42,2520503,1,1,1500,3
249,42,2100002,20,1,3000,3
250,42,2200021,10,1,3600,3
251,42,2300003,10,1,4000,3
252,42,1700015,10,1,5400,3